step,intersection,time_of_day,phase_used,duration,queue_ns,queue_ew,served_ns,served_ew,throughput,avg_wait_proxy,stops,emergency,explanation
45,2,morning,EW,12,6,0,0,5,5,3.0,6,False,RL: exploiting → 12s green
46,0,morning,NS,12,0,3,7,0,7,1.5,3,False,RL: exploiting → 12s green
46,1,morning,NS,12,0,4,9,0,9,2.0,4,False,RL: exploiting → 12s green
46,2,morning,NS,12,0,4,9,0,9,2.0,4,False,RL: exploiting → 12s green
47,0,morning,EW,12,5,0,0,7,7,2.5,5,False,RL: exploiting → 12s green
47,1,morning,EW,12,6,0,0,8,8,3.0,6,False,RL: exploiting → 12s green
47,2,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
48,0,morning,NS,12,0,4,11,0,11,2.0,4,False,RL: exploiting → 12s green
48,1,morning,NS,12,0,4,10,0,10,2.0,4,False,RL: exploiting → 12s green
48,2,morning,NS,12,0,4,10,0,10,2.0,4,False,RL: exploiting → 12s green
49,0,morning,EW,12,5,0,0,7,7,2.5,5,False,RL: exploiting → 12s green
49,1,morning,EW,12,5,0,0,7,7,2.5,5,False,RL: exploiting → 12s green
49,2,morning,EW,12,4,0,0,8,8,2.0,4,False,RL: exploiting → 12s green
50,0,morning,NS,12,0,4,9,0,9,2.0,4,False,RL: exploiting → 12s green
50,1,morning,NS,12,0,2,10,0,10,1.0,2,False,RL: exploiting → 12s green
50,2,morning,NS,12,0,4,8,0,8,2.0,4,False,RL: exploiting → 12s green
51,0,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploring → 12s green
51,1,morning,EW,12,4,0,0,5,5,2.0,4,False,RL: exploiting → 12s green
51,2,morning,EW,12,3,0,0,7,7,1.5,3,False,RL: exploiting → 12s green
52,0,morning,NS,12,0,4,8,0,8,2.0,4,False,RL: exploiting → 12s green
52,1,morning,NS,12,0,3,10,0,10,1.5,3,False,RL: exploiting → 12s green
52,2,morning,NS,12,0,2,6,0,6,1.0,2,False,RL: exploiting → 12s green
53,0,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
53,1,morning,EW,12,6,0,0,5,5,3.0,6,False,RL: exploiting → 12s green
53,2,morning,EW,12,3,0,0,5,5,1.5,3,False,RL: exploiting → 12s green
54,0,morning,NS,12,0,4,10,0,10,2.0,4,False,RL: exploiting → 12s green
54,1,morning,NS,12,0,3,11,0,11,1.5,3,False,RL: exploiting → 12s green
54,2,morning,NS,12,0,4,9,0,9,2.0,4,False,RL: exploiting → 12s green
55,0,morning,EW,12,4,0,0,8,8,2.0,4,False,RL: exploiting → 12s green
55,1,morning,EW,12,6,0,0,6,6,3.0,6,False,RL: exploiting → 12s green
55,2,morning,EW,12,5,0,0,8,8,2.5,5,False,RL: exploiting → 12s green
56,0,morning,NS,12,0,3,8,0,8,1.5,3,False,RL: exploiting → 12s green
56,1,morning,NS,12,0,2,11,0,11,1.0,2,False,RL: exploiting → 12s green
56,2,morning,NS,12,0,4,10,0,10,2.0,4,False,RL: exploiting → 12s green
57,0,morning,EW,12,4,0,0,5,5,2.0,4,False,RL: exploiting → 12s green
57,1,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
57,2,morning,EW,12,6,0,0,7,7,3.0,6,False,RL: exploiting → 12s green
58,0,morning,NS,12,0,3,10,0,10,1.5,3,False,RL: exploiting → 12s green
58,1,morning,NS,12,0,3,10,0,10,1.5,3,False,RL: exploiting → 12s green
58,2,morning,NS,12,0,4,9,0,9,2.0,4,False,RL: exploiting → 12s green
59,0,morning,EW,12,3,0,0,6,6,1.5,3,False,RL: exploiting → 12s green
59,1,morning,EW,12,6,0,0,6,6,3.0,6,False,RL: exploiting → 12s green
59,2,morning,EW,12,4,0,0,7,7,2.0,4,False,RL: exploiting → 12s green
60,0,morning,NS,12,0,3,9,0,9,1.5,3,False,RL: exploiting → 12s green
60,1,morning,NS,12,0,4,11,0,11,2.0,4,False,RL: exploiting → 12s green
60,2,morning,NS,12,0,4,10,0,10,2.0,4,False,RL: exploiting → 12s green
61,0,morning,EW,12,6,0,0,5,5,3.0,6,False,RL: exploiting → 12s green
61,1,morning,EW,12,3,0,0,7,7,1.5,3,False,RL: exploiting → 12s green
61,2,morning,EW,12,3,0,0,6,6,1.5,3,False,RL: exploiting → 12s green
62,0,morning,NS,12,0,3,10,0,10,1.5,3,False,RL: exploiting → 12s green
62,1,morning,NS,12,0,3,8,0,8,1.5,3,False,RL: exploiting → 12s green
62,2,morning,NS,12,0,3,9,0,9,1.5,3,False,RL: exploiting → 12s green
63,0,morning,EW,12,6,0,0,6,6,3.0,6,False,RL: exploiting → 12s green
63,1,morning,EW,12,6,0,0,6,6,3.0,6,False,RL: exploiting → 12s green
63,2,morning,EW,12,6,0,0,5,5,3.0,6,False,RL: exploiting → 12s green
64,0,morning,NS,12,0,3,9,0,9,1.5,3,False,RL: exploiting → 12s green
64,1,morning,NS,12,0,4,9,0,9,2.0,4,False,RL: exploiting → 12s green
64,2,morning,NS,12,0,2,9,0,9,1.0,2,False,RL: exploiting → 12s green
65,0,morning,EW,12,3,0,0,7,7,1.5,3,False,RL: exploiting → 12s green
65,1,morning,EW,12,4,0,0,7,7,2.0,4,False,RL: exploiting → 12s green
65,2,morning,EW,12,4,0,0,5,5,2.0,4,False,RL: exploiting → 12s green
66,0,morning,NS,12,0,2,8,0,8,1.0,2,False,RL: exploiting → 12s green
66,1,morning,NS,12,0,2,7,0,7,1.0,2,False,RL: exploiting → 12s green
66,2,morning,NS,12,0,4,7,0,7,2.0,4,False,RL: exploiting → 12s green
67,0,morning,EW,12,5,0,0,6,6,2.5,5,False,RL: exploiting → 12s green
67,1,morning,EW,12,6,0,0,5,5,3.0,6,False,RL: exploiting → 12s green
67,2,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
68,0,morning,NS,12,0,2,9,0,9,1.0,2,False,RL: exploiting → 12s green
68,1,morning,NS,12,0,4,11,0,11,2.0,4,False,RL: exploiting → 12s green
68,2,morning,NS,12,0,4,7,0,7,2.0,4,False,RL: exploiting → 12s green
69,0,morning,EW,12,5,0,0,6,6,2.5,5,False,RL: exploiting → 12s green
69,1,morning,EW,12,5,0,0,6,6,2.5,5,False,RL: exploiting → 12s green
69,2,morning,EW,12,5,0,0,6,6,2.5,5,False,RL: exploiting → 12s green
70,0,morning,NS,12,0,2,11,0,11,1.0,2,False,RL: exploiting → 12s green
70,1,morning,NS,12,0,4,10,0,10,2.0,4,False,RL: exploiting → 12s green
70,2,morning,NS,12,0,4,11,0,11,2.0,4,False,RL: exploiting → 12s green
71,0,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
71,1,morning,EW,12,5,0,0,8,8,2.5,5,False,RL: exploiting → 12s green
71,2,morning,EW,12,6,0,0,7,7,3.0,6,False,RL: exploiting → 12s green
72,0,morning,NS,12,0,3,9,0,9,1.5,3,False,RL: exploiting → 12s green
72,1,morning,NS,12,0,3,8,0,8,1.5,3,False,RL: exploiting → 12s green
72,2,morning,NS,12,0,3,10,0,10,1.5,3,False,RL: exploiting → 12s green
73,0,morning,EW,12,6,0,0,6,6,3.0,6,False,RL: exploiting → 12s green
73,1,morning,EW,12,5,0,0,5,5,2.5,5,False,RL: exploiting → 12s green
73,2,morning,EW,12,5,0,0,6,6,2.5,5,False,RL: exploiting → 12s green
74,0,morning,NS,12,0,4,11,0,11,2.0,4,True,RL: exploiting → 12s green | Emergency override: granted immediate green to priority approach.
74,1,morning,NS,14,0,2,9,0,9,1.0,2,False,RL: exploring → 14s green
74,2,morning,NS,12,0,3,11,0,11,1.5,3,False,RL: exploiting → 12s green
75,0,morning,NS,12,0,8,4,0,4,4.0,8,False,RL: exploiting → 12s green
75,1,morning,EW,12,6,0,0,5,5,3.0,6,False,RL: exploiting → 12s green
75,2,morning,EW,12,3,0,0,6,6,1.5,3,False,RL: exploiting → 12s green
76,0,morning,EW,12,4,0,0,11,11,2.0,4,False,RL: exploiting → 12s green
76,1,morning,NS,12,0,3,11,0,11,1.5,3,False,RL: exploiting → 12s green
76,2,morning,NS,12,0,3,8,0,8,1.5,3,False,RL: exploiting → 12s green
77,0,morning,NS,12,0,3,9,0,9,1.5,3,False,RL: exploiting → 12s green
77,1,morning,EW,12,5,0,0,6,6,2.5,5,False,RL: exploiting → 12s green
77,2,morning,EW,12,3,0,0,7,7,1.5,3,False,RL: exploiting → 12s green
78,0,morning,EW,12,3,0,0,7,7,1.5,3,False,RL: exploiting → 12s green
78,1,morning,NS,12,0,2,9,0,9,1.0,2,False,RL: exploiting → 12s green
78,2,morning,NS,12,0,3,9,0,9,1.5,3,False,RL: exploiting → 12s green
79,0,morning,NS,12,0,2,8,0,8,1.0,2,False,RL: exploiting → 12s green
79,1,morning,EW,12,5,0,0,4,4,2.5,5,False,RL: exploiting → 12s green
79,2,morning,EW,12,5,0,0,5,5,2.5,5,False,RL: exploiting → 12s green
80,0,morning,EW,14,4,0,0,5,5,2.0,4,False,RL: exploring → 14s green
80,1,morning,NS,12,0,4,8,0,8,2.0,4,False,RL: exploiting → 12s green
80,2,morning,NS,12,0,4,9,0,9,2.0,4,False,RL: exploiting → 12s green
81,0,morning,NS,12,0,2,10,0,10,1.0,2,False,RL: exploiting → 12s green
81,1,morning,EW,12,5,0,0,7,7,2.5,5,False,RL: exploiting → 12s green
81,2,morning,EW,12,5,0,0,6,6,2.5,5,False,RL: exploiting → 12s green
82,0,morning,EW,12,5,0,0,5,5,2.5,5,False,RL: exploiting → 12s green
82,1,morning,NS,12,0,3,8,0,8,1.5,3,False,RL: exploiting → 12s green
82,2,morning,NS,12,0,2,8,0,8,1.0,2,False,RL: exploiting → 12s green
83,0,morning,NS,12,0,2,10,0,10,1.0,2,False,RL: exploiting → 12s green
83,1,morning,EW,12,3,0,0,7,7,1.5,3,False,RL: exploiting → 12s green
83,2,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
84,0,morning,EW,12,6,0,0,5,5,3.0,6,False,RL: exploiting → 12s green
84,1,morning,NS,12,0,3,9,0,9,1.5,3,False,RL: exploiting → 12s green
84,2,morning,NS,12,0,4,7,0,7,2.0,4,False,RL: exploiting → 12s green
85,0,morning,NS,12,0,2,9,0,9,1.0,2,False,RL: exploiting → 12s green
85,1,morning,EW,12,5,0,0,7,7,2.5,5,False,RL: exploiting → 12s green
85,2,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
86,0,morning,EW,12,4,0,0,4,4,2.0,4,False,RL: exploiting → 12s green
86,1,morning,NS,12,0,3,11,0,11,1.5,3,False,RL: exploiting → 12s green
86,2,morning,NS,12,0,4,9,0,9,2.0,4,False,RL: exploiting → 12s green
87,0,morning,NS,12,0,2,10,0,10,1.0,2,False,RL: exploiting → 12s green
87,1,morning,EW,12,5,0,0,7,7,2.5,5,False,RL: exploiting → 12s green
87,2,morning,EW,12,4,0,0,7,7,2.0,4,False,RL: exploiting → 12s green
88,0,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
88,1,morning,NS,12,0,2,10,0,10,1.0,2,False,RL: exploiting → 12s green
88,2,morning,NS,12,0,3,8,0,8,1.5,3,False,RL: exploiting → 12s green
89,0,morning,NS,12,0,3,9,0,9,1.5,3,False,RL: exploiting → 12s green
89,1,morning,EW,12,5,0,0,6,6,2.5,5,False,RL: exploiting → 12s green
89,2,morning,EW,12,5,0,0,7,7,2.5,5,False,RL: exploiting → 12s green
90,0,morning,EW,12,6,0,0,5,5,3.0,6,False,RL: exploiting → 12s green
90,1,morning,NS,12,0,4,11,0,11,2.0,4,False,RL: exploiting → 12s green
90,2,morning,NS,12,0,2,10,0,10,1.0,2,False,RL: exploiting → 12s green
91,0,morning,NS,12,0,4,9,0,9,2.0,4,False,RL: exploiting → 12s green
91,1,morning,EW,12,3,0,0,6,6,1.5,3,False,RL: exploiting → 12s green
91,2,morning,EW,12,6,0,0,5,5,3.0,6,False,RL: exploiting → 12s green
92,0,morning,EW,12,6,0,0,8,8,3.0,6,False,RL: exploiting → 12s green
92,1,morning,NS,12,0,3,6,0,6,1.5,3,False,RL: exploiting → 12s green
92,2,morning,NS,12,0,3,11,0,11,1.5,3,False,RL: exploiting → 12s green
93,0,morning,NS,12,0,3,10,0,10,1.5,3,False,RL: exploiting → 12s green
93,1,morning,EW,12,6,0,0,6,6,3.0,6,False,RL: exploiting → 12s green
93,2,morning,EW,12,6,0,0,7,7,3.0,6,False,RL: exploiting → 12s green
94,0,morning,EW,12,3,0,0,6,6,1.5,3,False,RL: exploiting → 12s green
94,1,morning,NS,14,0,3,9,0,9,1.5,3,False,RL: exploring → 14s green
94,2,morning,NS,12,0,4,9,0,9,2.0,4,False,RL: exploiting → 12s green
95,0,morning,NS,12,0,3,9,0,9,1.5,3,False,RL: exploiting → 12s green
95,1,morning,EW,12,5,0,0,7,7,2.5,5,False,RL: exploiting → 12s green
95,2,morning,EW,12,6,0,0,6,6,3.0,6,False,RL: exploiting → 12s green
96,0,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
96,1,morning,NS,12,0,2,11,0,11,1.0,2,False,RL: exploiting → 12s green
96,2,morning,NS,12,0,4,10,0,10,2.0,4,False,RL: exploiting → 12s green
97,0,morning,NS,12,0,4,7,0,7,2.0,4,False,RL: exploiting → 12s green
97,1,morning,EW,12,4,0,0,4,4,2.0,4,False,RL: exploiting → 12s green
97,2,morning,EW,12,3,0,0,8,8,1.5,3,False,RL: exploiting → 12s green
98,0,morning,EW,12,6,0,0,8,8,3.0,6,False,RL: exploiting → 12s green
98,1,morning,NS,12,0,3,9,0,9,1.5,3,False,RL: exploiting → 12s green
98,2,morning,NS,12,0,2,9,0,9,1.0,2,False,RL: exploiting → 12s green
99,0,morning,NS,12,0,3,10,0,10,1.5,3,False,RL: exploiting → 12s green
99,1,morning,EW,12,4,0,0,5,5,2.0,4,False,RL: exploiting → 12s green
99,2,morning,EW,12,6,0,0,5,5,3.0,6,False,RL: exploiting → 12s green
100,0,morning,EW,12,5,0,0,5,5,2.5,5,False,RL: exploiting → 12s green
100,1,morning,NS,12,0,4,9,0,9,2.0,4,False,RL: exploiting → 12s green
100,2,morning,NS,12,0,2,12,0,12,1.0,2,False,RL: exploiting → 12s green
101,0,morning,NS,12,0,3,11,0,11,1.5,3,False,RL: exploiting → 12s green
101,1,morning,EW,12,6,0,0,7,7,3.0,6,False,RL: exploiting → 12s green
101,2,morning,EW,12,4,0,0,6,6,2.0,4,False,RL: exploiting → 12s green
102,0,morning,EW,12,6,0,0,5,5,3.0,6,False,RL: exploiting → 12s green
102,1,morning,NS,12,0,2,12,0,12,1.0,2,False,RL: exploiting → 12s green
102,2,morning,NS,12,0,4,10,0,10,2.0,4,False,RL: exploiting → 12s green
103,0,morning,NS,12,0,3,12,0,12,1.5,3,False,RL: exploiting → 12s green
103,1,morning,EW,12,4,0,0,5,5,2.0,4,False,RL: exploiting → 12s green
103,2,morning,EW,12,4,0,0,8,8,2.0,4,False,RL: exploiting → 12s green
104,0,morning,EW,12,5,0,0,5,5,2.5,5,False,RL: exploiting → 12s green
104,1,morning,NS,12,0,2,10,0,10,1.0,2,False,RL: exploiting → 12s green
104,2,morning,NS,12,0,2,10,0,10,1.0,2,False,RL: exploiting → 12s green
105,0,morning,NS,12,0,4,11,0,11,2.0,4,False,RL: exploiting → 12s green
105,1,morning,EW,12,3,0,0,5,5,1.5,3,False,RL: exploiting → 12s green
105,2,morning,EW,12,5,0,0,5,5,2.5,5,False,RL: exploiting → 12s green
106,0,morning,EW,12,6,0,0,8,8,3.0,6,False,RL: exploiting → 12s green
106,1,morning,NS,12,0,4,8,0,8,2.0,4,False,RL: exploiting → 12s green
106,2,morning,NS,12,0,3,11,0,11,1.5,3,False,RL: exploiting → 12s green
