step,intersection,time_of_day,phase_used,duration,queue_ns,queue_ew,served_ns,served_ew,throughput,avg_wait_proxy,stops,emergency,explanation
9,0,morning,EW,12,4,0,0,8,8,2.0,4,False,Fixed plan based on time-of-day profile.
9,1,morning,EW,12,5,0,0,4,4,2.5,5,False,Fixed plan based on time-of-day profile.
9,2,morning,EW,12,6,0,0,7,7,3.0,6,False,Fixed plan based on time-of-day profile.
10,0,morning,NS,12,0,2,9,0,9,1.0,2,False,Fixed plan based on time-of-day profile.
10,1,morning,NS,12,0,4,10,0,10,2.0,4,False,Fixed plan based on time-of-day profile.
10,2,morning,NS,12,0,3,12,0,12,1.5,3,False,Fixed plan based on time-of-day profile.
11,0,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
11,1,morning,EW,12,3,0,0,6,6,1.5,3,False,Fixed plan based on time-of-day profile.
11,2,morning,EW,12,4,0,0,7,7,2.0,4,False,Fixed plan based on time-of-day profile.
12,0,morning,NS,12,0,3,7,0,7,1.5,3,False,Fixed plan based on time-of-day profile.
12,1,morning,NS,12,0,4,9,0,9,2.0,4,False,Fixed plan based on time-of-day profile.
12,2,morning,NS,12,0,4,7,0,7,2.0,4,False,Fixed plan based on time-of-day profile.
13,0,morning,EW,12,5,0,0,7,7,2.5,5,False,Fixed plan based on time-of-day profile.
13,1,morning,EW,12,5,0,0,7,7,2.5,5,False,Fixed plan based on time-of-day profile.
13,2,morning,EW,12,3,0,0,8,8,1.5,3,False,Fixed plan based on time-of-day profile.
14,0,morning,NS,12,0,4,10,0,10,2.0,4,False,Fixed plan based on time-of-day profile.
14,1,morning,NS,12,0,4,8,0,8,2.0,4,False,Fixed plan based on time-of-day profile.
14,2,morning,NS,12,0,2,7,0,7,1.0,2,False,Fixed plan based on time-of-day profile.
15,0,morning,EW,12,4,0,0,8,8,2.0,4,False,Fixed plan based on time-of-day profile.
15,1,morning,EW,12,3,0,0,8,8,1.5,3,False,Fixed plan based on time-of-day profile.
15,2,morning,EW,12,3,0,0,4,4,1.5,3,False,Fixed plan based on time-of-day profile.
16,0,morning,NS,12,0,2,9,0,9,1.0,2,False,Fixed plan based on time-of-day profile.
16,1,morning,NS,12,0,2,6,0,6,1.0,2,False,Fixed plan based on time-of-day profile.
16,2,morning,NS,12,0,4,6,0,6,2.0,4,False,Fixed plan based on time-of-day profile.
17,0,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
17,1,morning,EW,12,4,0,0,5,5,2.0,4,False,Fixed plan based on time-of-day profile.
17,2,morning,EW,12,6,0,0,6,6,3.0,6,False,Fixed plan based on time-of-day profile.
18,0,morning,NS,12,0,4,8,0,8,2.0,4,False,Fixed plan based on time-of-day profile.
18,1,morning,NS,12,0,3,9,0,9,1.5,3,False,Fixed plan based on time-of-day profile.
18,2,morning,NS,12,0,2,12,0,12,1.0,2,False,Fixed plan based on time-of-day profile.
19,0,morning,EW,12,3,0,0,7,7,1.5,3,False,Fixed plan based on time-of-day profile.
19,1,morning,EW,12,4,0,0,7,7,2.0,4,False,Fixed plan based on time-of-day profile.
19,2,morning,EW,12,3,0,0,6,6,1.5,3,False,Fixed plan based on time-of-day profile.
20,0,morning,NS,12,0,2,7,0,7,1.0,2,False,Fixed plan based on time-of-day profile.
20,1,morning,NS,12,0,2,9,0,9,1.0,2,False,Fixed plan based on time-of-day profile.
20,2,morning,NS,12,0,4,8,0,8,2.0,4,False,Fixed plan based on time-of-day profile.
21,0,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
21,1,morning,EW,12,6,0,0,4,4,3.0,6,False,Fixed plan based on time-of-day profile.
21,2,morning,EW,12,6,0,0,6,6,3.0,6,False,Fixed plan based on time-of-day profile.
22,0,morning,NS,12,0,3,10,0,10,1.5,3,False,Fixed plan based on time-of-day profile.
22,1,morning,NS,12,0,4,12,0,12,2.0,4,False,Fixed plan based on time-of-day profile.
22,2,morning,NS,12,0,2,9,0,9,1.0,2,False,Fixed plan based on time-of-day profile.
23,0,morning,EW,12,5,0,0,5,5,2.5,5,False,Fixed plan based on time-of-day profile.
23,1,morning,EW,12,4,0,0,8,8,2.0,4,False,Fixed plan based on time-of-day profile.
23,2,morning,EW,12,6,0,0,4,4,3.0,6,False,Fixed plan based on time-of-day profile.
24,0,morning,NS,12,0,2,9,0,9,1.0,2,False,Fixed plan based on time-of-day profile.
24,1,morning,NS,12,0,2,7,0,7,1.0,2,False,Fixed plan based on time-of-day profile.
24,2,morning,NS,12,0,2,9,0,9,1.0,2,False,Fixed plan based on time-of-day profile.
25,0,morning,EW,12,4,0,0,4,4,2.0,4,False,Fixed plan based on time-of-day profile.
25,1,morning,EW,12,6,0,0,4,4,3.0,6,False,Fixed plan based on time-of-day profile.
25,2,morning,EW,12,3,0,0,4,4,1.5,3,False,Fixed plan based on time-of-day profile.
26,0,morning,NS,12,0,3,10,0,10,1.5,3,False,Fixed plan based on time-of-day profile.
26,1,morning,NS,12,0,3,12,0,12,1.5,3,False,Fixed plan based on time-of-day profile.
26,2,morning,NS,12,0,2,9,0,9,1.0,2,False,Fixed plan based on time-of-day profile.
27,0,morning,EW,12,4,0,0,5,5,2.0,4,False,Fixed plan based on time-of-day profile.
27,1,morning,EW,12,3,0,0,7,7,1.5,3,False,Fixed plan based on time-of-day profile.
27,2,morning,EW,12,3,0,0,6,6,1.5,3,False,Fixed plan based on time-of-day profile.
28,0,morning,NS,12,0,2,8,0,8,1.0,2,False,Fixed plan based on time-of-day profile.
28,1,morning,NS,12,0,2,6,0,6,1.0,2,False,Fixed plan based on time-of-day profile.
28,2,morning,NS,12,0,4,6,0,6,2.0,4,False,Fixed plan based on time-of-day profile.
29,0,morning,EW,12,6,0,0,4,4,3.0,6,False,Fixed plan based on time-of-day profile.
29,1,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
29,2,morning,EW,12,3,0,0,7,7,1.5,3,False,Fixed plan based on time-of-day profile.
30,0,morning,NS,12,0,3,11,0,11,1.5,3,False,Fixed plan based on time-of-day profile.
30,1,morning,NS,12,0,2,9,0,9,1.0,2,False,Fixed plan based on time-of-day profile.
30,2,morning,NS,12,0,4,7,0,7,2.0,4,False,Fixed plan based on time-of-day profile.
31,0,morning,EW,12,6,0,0,6,6,3.0,6,False,Fixed plan based on time-of-day profile.
31,1,morning,EW,12,3,0,0,4,4,1.5,3,False,Fixed plan based on time-of-day profile.
31,2,morning,EW,12,3,0,0,6,6,1.5,3,False,Fixed plan based on time-of-day profile.
32,0,morning,NS,12,0,2,11,0,11,1.0,2,False,Fixed plan based on time-of-day profile.
32,1,morning,NS,12,0,2,6,0,6,1.0,2,False,Fixed plan based on time-of-day profile.
32,2,morning,NS,12,0,3,7,0,7,1.5,3,False,Fixed plan based on time-of-day profile.
33,0,morning,EW,12,5,0,0,6,6,2.5,5,False,Fixed plan based on time-of-day profile.
33,1,morning,EW,12,3,0,0,6,6,1.5,3,False,Fixed plan based on time-of-day profile.
33,2,morning,EW,12,5,0,0,7,7,2.5,5,False,Fixed plan based on time-of-day profile.
34,0,morning,NS,12,0,3,9,0,9,1.5,3,False,Fixed plan based on time-of-day profile.
34,1,morning,NS,12,0,4,6,0,6,2.0,4,False,Fixed plan based on time-of-day profile.
34,2,morning,NS,12,0,3,10,0,10,1.5,3,False,Fixed plan based on time-of-day profile.
35,0,morning,EW,12,5,0,0,5,5,2.5,5,False,Fixed plan based on time-of-day profile.
35,1,morning,EW,12,5,0,0,8,8,2.5,5,False,Fixed plan based on time-of-day profile.
35,2,morning,EW,12,3,0,0,5,5,1.5,3,False,Fixed plan based on time-of-day profile.
36,0,morning,NS,12,0,2,10,0,10,1.0,2,True,Fixed plan based on time-of-day profile. | Emergency override: granted immediate green to priority approach.
36,1,morning,NS,12,0,4,9,0,9,2.0,4,False,Fixed plan based on time-of-day profile.
36,2,morning,NS,12,0,4,7,0,7,2.0,4,False,Fixed plan based on time-of-day profile.
37,0,morning,NS,12,0,6,6,0,6,3.0,6,True,Fixed plan based on time-of-day profile. | Emergency override: granted immediate green to priority approach.
37,1,morning,EW,12,3,0,0,8,8,1.5,3,False,Fixed plan based on time-of-day profile.
37,2,morning,EW,12,3,0,0,7,7,1.5,3,False,Fixed plan based on time-of-day profile.
38,0,morning,NS,12,0,9,4,0,4,4.5,9,False,Fixed plan based on time-of-day profile.
38,1,morning,NS,12,0,3,8,0,8,1.5,3,False,Fixed plan based on time-of-day profile.
38,2,morning,NS,12,0,3,6,0,6,1.5,3,False,Fixed plan based on time-of-day profile.
39,0,morning,EW,12,4,1,0,12,12,2.5,4,False,Fixed plan based on time-of-day profile.
39,1,morning,EW,12,6,0,0,7,7,3.0,6,False,Fixed plan based on time-of-day profile.
39,2,morning,EW,12,4,0,0,5,5,2.0,4,False,Fixed plan based on time-of-day profile.
40,0,morning,NS,12,0,4,8,0,8,2.0,4,False,Fixed plan based on time-of-day profile.
40,1,morning,NS,12,0,3,11,0,11,1.5,3,False,Fixed plan based on time-of-day profile.
40,2,morning,NS,12,0,3,8,0,8,1.5,3,False,Fixed plan based on time-of-day profile.
41,0,morning,EW,12,3,0,0,7,7,1.5,3,False,Fixed plan based on time-of-day profile.
41,1,morning,EW,12,6,0,0,5,5,3.0,6,False,Fixed plan based on time-of-day profile.
41,2,morning,EW,12,6,0,0,6,6,3.0,6,False,Fixed plan based on time-of-day profile.
42,0,morning,NS,12,0,2,7,0,7,1.0,2,False,Fixed plan based on time-of-day profile.
42,1,morning,NS,12,0,3,10,0,10,1.5,3,False,Fixed plan based on time-of-day profile.
42,2,morning,NS,12,0,3,9,0,9,1.5,3,False,Fixed plan based on time-of-day profile.
43,0,morning,EW,12,6,0,0,6,6,3.0,6,False,Fixed plan based on time-of-day profile.
43,1,morning,EW,12,5,0,0,5,5,2.5,5,False,Fixed plan based on time-of-day profile.
43,2,morning,EW,12,5,0,0,5,5,2.5,5,False,Fixed plan based on time-of-day profile.
44,0,morning,NS,12,0,2,11,0,11,1.0,2,False,Fixed plan based on time-of-day profile.
44,1,morning,NS,12,0,3,11,0,11,1.5,3,False,Fixed plan based on time-of-day profile.
44,2,morning,NS,12,0,3,10,0,10,1.5,3,False,Fixed plan based on time-of-day profile.
45,0,morning,EW,12,3,0,0,5,5,1.5,3,False,Fixed plan based on time-of-day profile.
45,1,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
45,2,morning,EW,12,6,0,0,5,5,3.0,6,False,Fixed plan based on time-of-day profile.
46,0,morning,NS,12,0,3,7,0,7,1.5,3,False,Fixed plan based on time-of-day profile.
46,1,morning,NS,12,0,4,9,0,9,2.0,4,False,Fixed plan based on time-of-day profile.
46,2,morning,NS,12,0,4,9,0,9,2.0,4,False,Fixed plan based on time-of-day profile.
47,0,morning,EW,12,5,0,0,7,7,2.5,5,False,Fixed plan based on time-of-day profile.
47,1,morning,EW,12,6,0,0,8,8,3.0,6,False,Fixed plan based on time-of-day profile.
47,2,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
48,0,morning,NS,12,0,4,11,0,11,2.0,4,False,Fixed plan based on time-of-day profile.
48,1,morning,NS,12,0,4,10,0,10,2.0,4,False,Fixed plan based on time-of-day profile.
48,2,morning,NS,12,0,4,10,0,10,2.0,4,False,Fixed plan based on time-of-day profile.
49,0,morning,EW,12,5,0,0,7,7,2.5,5,False,Fixed plan based on time-of-day profile.
49,1,morning,EW,12,5,0,0,7,7,2.5,5,False,Fixed plan based on time-of-day profile.
49,2,morning,EW,12,4,0,0,8,8,2.0,4,False,Fixed plan based on time-of-day profile.
50,0,morning,NS,12,0,4,9,0,9,2.0,4,False,Fixed plan based on time-of-day profile.
50,1,morning,NS,12,0,2,10,0,10,1.0,2,False,Fixed plan based on time-of-day profile.
50,2,morning,NS,12,0,4,8,0,8,2.0,4,False,Fixed plan based on time-of-day profile.
51,0,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
51,1,morning,EW,12,4,0,0,5,5,2.0,4,False,Fixed plan based on time-of-day profile.
51,2,morning,EW,12,3,0,0,7,7,1.5,3,False,Fixed plan based on time-of-day profile.
52,0,morning,NS,12,0,4,8,0,8,2.0,4,False,Fixed plan based on time-of-day profile.
52,1,morning,NS,12,0,3,10,0,10,1.5,3,False,Fixed plan based on time-of-day profile.
52,2,morning,NS,12,0,2,6,0,6,1.0,2,False,Fixed plan based on time-of-day profile.
53,0,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
53,1,morning,EW,12,6,0,0,5,5,3.0,6,False,Fixed plan based on time-of-day profile.
53,2,morning,EW,12,3,0,0,5,5,1.5,3,False,Fixed plan based on time-of-day profile.
54,0,morning,NS,12,0,4,10,0,10,2.0,4,False,Fixed plan based on time-of-day profile.
54,1,morning,NS,12,0,3,11,0,11,1.5,3,False,Fixed plan based on time-of-day profile.
54,2,morning,NS,12,0,4,9,0,9,2.0,4,False,Fixed plan based on time-of-day profile.
55,0,morning,EW,12,4,0,0,8,8,2.0,4,False,Fixed plan based on time-of-day profile.
55,1,morning,EW,12,6,0,0,6,6,3.0,6,False,Fixed plan based on time-of-day profile.
55,2,morning,EW,12,5,0,0,8,8,2.5,5,False,Fixed plan based on time-of-day profile.
56,0,morning,NS,12,0,3,8,0,8,1.5,3,False,Fixed plan based on time-of-day profile.
56,1,morning,NS,12,0,2,11,0,11,1.0,2,False,Fixed plan based on time-of-day profile.
56,2,morning,NS,12,0,4,10,0,10,2.0,4,False,Fixed plan based on time-of-day profile.
57,0,morning,EW,12,4,0,0,5,5,2.0,4,False,Fixed plan based on time-of-day profile.
57,1,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
57,2,morning,EW,12,6,0,0,7,7,3.0,6,False,Fixed plan based on time-of-day profile.
58,0,morning,NS,12,0,3,10,0,10,1.5,3,False,Fixed plan based on time-of-day profile.
58,1,morning,NS,12,0,3,10,0,10,1.5,3,False,Fixed plan based on time-of-day profile.
58,2,morning,NS,12,0,4,9,0,9,2.0,4,False,Fixed plan based on time-of-day profile.
59,0,morning,EW,12,3,0,0,6,6,1.5,3,False,Fixed plan based on time-of-day profile.
59,1,morning,EW,12,6,0,0,6,6,3.0,6,False,Fixed plan based on time-of-day profile.
59,2,morning,EW,12,4,0,0,7,7,2.0,4,False,Fixed plan based on time-of-day profile.
60,0,morning,NS,12,0,3,9,0,9,1.5,3,False,Fixed plan based on time-of-day profile.
60,1,morning,NS,12,0,4,11,0,11,2.0,4,False,Fixed plan based on time-of-day profile.
60,2,morning,NS,12,0,4,10,0,10,2.0,4,False,Fixed plan based on time-of-day profile.
61,0,morning,EW,12,6,0,0,5,5,3.0,6,False,Fixed plan based on time-of-day profile.
61,1,morning,EW,12,3,0,0,7,7,1.5,3,False,Fixed plan based on time-of-day profile.
61,2,morning,EW,12,3,0,0,6,6,1.5,3,False,Fixed plan based on time-of-day profile.
62,0,morning,NS,12,0,3,10,0,10,1.5,3,False,Fixed plan based on time-of-day profile.
62,1,morning,NS,12,0,3,8,0,8,1.5,3,False,Fixed plan based on time-of-day profile.
62,2,morning,NS,12,0,3,9,0,9,1.5,3,False,Fixed plan based on time-of-day profile.
63,0,morning,EW,12,6,0,0,6,6,3.0,6,False,Fixed plan based on time-of-day profile.
63,1,morning,EW,12,6,0,0,6,6,3.0,6,False,Fixed plan based on time-of-day profile.
63,2,morning,EW,12,6,0,0,5,5,3.0,6,False,Fixed plan based on time-of-day profile.
64,0,morning,NS,12,0,3,9,0,9,1.5,3,False,Fixed plan based on time-of-day profile.
64,1,morning,NS,12,0,4,9,0,9,2.0,4,False,Fixed plan based on time-of-day profile.
64,2,morning,NS,12,0,2,9,0,9,1.0,2,False,Fixed plan based on time-of-day profile.
65,0,morning,EW,12,3,0,0,7,7,1.5,3,False,Fixed plan based on time-of-day profile.
65,1,morning,EW,12,4,0,0,7,7,2.0,4,False,Fixed plan based on time-of-day profile.
65,2,morning,EW,12,4,0,0,5,5,2.0,4,False,Fixed plan based on time-of-day profile.
66,0,morning,NS,12,0,2,8,0,8,1.0,2,False,Fixed plan based on time-of-day profile.
66,1,morning,NS,12,0,2,7,0,7,1.0,2,False,Fixed plan based on time-of-day profile.
66,2,morning,NS,12,0,4,7,0,7,2.0,4,False,Fixed plan based on time-of-day profile.
67,0,morning,EW,12,5,0,0,6,6,2.5,5,False,Fixed plan based on time-of-day profile.
67,1,morning,EW,12,6,0,0,5,5,3.0,6,False,Fixed plan based on time-of-day profile.
67,2,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
68,0,morning,NS,12,0,2,9,0,9,1.0,2,False,Fixed plan based on time-of-day profile.
68,1,morning,NS,12,0,4,11,0,11,2.0,4,False,Fixed plan based on time-of-day profile.
68,2,morning,NS,12,0,4,7,0,7,2.0,4,False,Fixed plan based on time-of-day profile.
69,0,morning,EW,12,5,0,0,6,6,2.5,5,False,Fixed plan based on time-of-day profile.
69,1,morning,EW,12,5,0,0,6,6,2.5,5,False,Fixed plan based on time-of-day profile.
69,2,morning,EW,12,5,0,0,6,6,2.5,5,False,Fixed plan based on time-of-day profile.
70,0,morning,NS,12,0,2,11,0,11,1.0,2,False,Fixed plan based on time-of-day profile.
70,1,morning,NS,12,0,4,10,0,10,2.0,4,False,Fixed plan based on time-of-day profile.
70,2,morning,NS,12,0,4,11,0,11,2.0,4,False,Fixed plan based on time-of-day profile.
71,0,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
71,1,morning,EW,12,5,0,0,8,8,2.5,5,False,Fixed plan based on time-of-day profile.
71,2,morning,EW,12,6,0,0,7,7,3.0,6,False,Fixed plan based on time-of-day profile.
72,0,morning,NS,12,0,3,9,0,9,1.5,3,False,Fixed plan based on time-of-day profile.
72,1,morning,NS,12,0,3,8,0,8,1.5,3,False,Fixed plan based on time-of-day profile.
72,2,morning,NS,12,0,3,10,0,10,1.5,3,False,Fixed plan based on time-of-day profile.
73,0,morning,EW,12,6,0,0,6,6,3.0,6,False,Fixed plan based on time-of-day profile.
73,1,morning,EW,12,5,0,0,5,5,2.5,5,False,Fixed plan based on time-of-day profile.
73,2,morning,EW,12,5,0,0,6,6,2.5,5,False,Fixed plan based on time-of-day profile.
74,0,morning,NS,12,0,4,11,0,11,2.0,4,True,Fixed plan based on time-of-day profile. | Emergency override: granted immediate green to priority approach.
74,1,morning,NS,12,0,2,9,0,9,1.0,2,False,Fixed plan based on time-of-day profile.
74,2,morning,NS,12,0,3,11,0,11,1.5,3,False,Fixed plan based on time-of-day profile.
75,0,morning,NS,12,0,8,4,0,4,4.0,8,False,Fixed plan based on time-of-day profile.
75,1,morning,EW,12,6,0,0,5,5,3.0,6,False,Fixed plan based on time-of-day profile.
75,2,morning,EW,12,3,0,0,6,6,1.5,3,False,Fixed plan based on time-of-day profile.
76,0,morning,EW,12,4,0,0,11,11,2.0,4,False,Fixed plan based on time-of-day profile.
76,1,morning,NS,12,0,3,11,0,11,1.5,3,False,Fixed plan based on time-of-day profile.
76,2,morning,NS,12,0,3,8,0,8,1.5,3,False,Fixed plan based on time-of-day profile.
77,0,morning,NS,12,0,3,9,0,9,1.5,3,False,Fixed plan based on time-of-day profile.
77,1,morning,EW,12,5,0,0,6,6,2.5,5,False,Fixed plan based on time-of-day profile.
77,2,morning,EW,12,3,0,0,7,7,1.5,3,False,Fixed plan based on time-of-day profile.
78,0,morning,EW,12,3,0,0,7,7,1.5,3,False,Fixed plan based on time-of-day profile.
78,1,morning,NS,12,0,2,9,0,9,1.0,2,False,Fixed plan based on time-of-day profile.
78,2,morning,NS,12,0,3,9,0,9,1.5,3,False,Fixed plan based on time-of-day profile.
79,0,morning,NS,12,0,2,8,0,8,1.0,2,False,Fixed plan based on time-of-day profile.
79,1,morning,EW,12,5,0,0,4,4,2.5,5,False,Fixed plan based on time-of-day profile.
79,2,morning,EW,12,5,0,0,5,5,2.5,5,False,Fixed plan based on time-of-day profile.
80,0,morning,EW,12,4,0,0,5,5,2.0,4,False,Fixed plan based on time-of-day profile.
80,1,morning,NS,12,0,4,8,0,8,2.0,4,False,Fixed plan based on time-of-day profile.
80,2,morning,NS,12,0,4,9,0,9,2.0,4,False,Fixed plan based on time-of-day profile.
81,0,morning,NS,12,0,2,10,0,10,1.0,2,False,Fixed plan based on time-of-day profile.
81,1,morning,EW,12,5,0,0,7,7,2.5,5,False,Fixed plan based on time-of-day profile.
81,2,morning,EW,12,5,0,0,6,6,2.5,5,False,Fixed plan based on time-of-day profile.
82,0,morning,EW,12,5,0,0,5,5,2.5,5,False,Fixed plan based on time-of-day profile.
82,1,morning,NS,12,0,3,8,0,8,1.5,3,False,Fixed plan based on time-of-day profile.
82,2,morning,NS,12,0,2,8,0,8,1.0,2,False,Fixed plan based on time-of-day profile.
83,0,morning,NS,12,0,2,10,0,10,1.0,2,False,Fixed plan based on time-of-day profile.
83,1,morning,EW,12,3,0,0,7,7,1.5,3,False,Fixed plan based on time-of-day profile.
83,2,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
84,0,morning,EW,12,6,0,0,5,5,3.0,6,False,Fixed plan based on time-of-day profile.
84,1,morning,NS,12,0,3,9,0,9,1.5,3,False,Fixed plan based on time-of-day profile.
84,2,morning,NS,12,0,4,7,0,7,2.0,4,False,Fixed plan based on time-of-day profile.
85,0,morning,NS,12,0,2,9,0,9,1.0,2,False,Fixed plan based on time-of-day profile.
85,1,morning,EW,12,5,0,0,7,7,2.5,5,False,Fixed plan based on time-of-day profile.
85,2,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
86,0,morning,EW,12,4,0,0,4,4,2.0,4,False,Fixed plan based on time-of-day profile.
86,1,morning,NS,12,0,3,11,0,11,1.5,3,False,Fixed plan based on time-of-day profile.
86,2,morning,NS,12,0,4,9,0,9,2.0,4,False,Fixed plan based on time-of-day profile.
87,0,morning,NS,12,0,2,10,0,10,1.0,2,False,Fixed plan based on time-of-day profile.
87,1,morning,EW,12,5,0,0,7,7,2.5,5,False,Fixed plan based on time-of-day profile.
87,2,morning,EW,12,4,0,0,7,7,2.0,4,False,Fixed plan based on time-of-day profile.
88,0,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
88,1,morning,NS,12,0,2,10,0,10,1.0,2,False,Fixed plan based on time-of-day profile.
88,2,morning,NS,12,0,3,8,0,8,1.5,3,False,Fixed plan based on time-of-day profile.
89,0,morning,NS,12,0,3,9,0,9,1.5,3,False,Fixed plan based on time-of-day profile.
89,1,morning,EW,12,5,0,0,6,6,2.5,5,False,Fixed plan based on time-of-day profile.
89,2,morning,EW,12,5,0,0,7,7,2.5,5,False,Fixed plan based on time-of-day profile.
90,0,morning,EW,12,6,0,0,5,5,3.0,6,False,Fixed plan based on time-of-day profile.
90,1,morning,NS,12,0,4,11,0,11,2.0,4,False,Fixed plan based on time-of-day profile.
90,2,morning,NS,12,0,2,10,0,10,1.0,2,False,Fixed plan based on time-of-day profile.
91,0,morning,NS,12,0,4,9,0,9,2.0,4,False,Fixed plan based on time-of-day profile.
91,1,morning,EW,12,3,0,0,6,6,1.5,3,False,Fixed plan based on time-of-day profile.
91,2,morning,EW,12,6,0,0,5,5,3.0,6,False,Fixed plan based on time-of-day profile.
92,0,morning,EW,12,6,0,0,8,8,3.0,6,False,Fixed plan based on time-of-day profile.
92,1,morning,NS,12,0,3,6,0,6,1.5,3,False,Fixed plan based on time-of-day profile.
92,2,morning,NS,12,0,3,11,0,11,1.5,3,False,Fixed plan based on time-of-day profile.
93,0,morning,NS,12,0,3,10,0,10,1.5,3,False,Fixed plan based on time-of-day profile.
93,1,morning,EW,12,6,0,0,6,6,3.0,6,False,Fixed plan based on time-of-day profile.
93,2,morning,EW,12,6,0,0,7,7,3.0,6,False,Fixed plan based on time-of-day profile.
94,0,morning,EW,12,3,0,0,6,6,1.5,3,False,Fixed plan based on time-of-day profile.
94,1,morning,NS,12,0,3,9,0,9,1.5,3,False,Fixed plan based on time-of-day profile.
94,2,morning,NS,12,0,4,9,0,9,2.0,4,False,Fixed plan based on time-of-day profile.
95,0,morning,NS,12,0,3,9,0,9,1.5,3,False,Fixed plan based on time-of-day profile.
95,1,morning,EW,12,5,0,0,7,7,2.5,5,False,Fixed plan based on time-of-day profile.
95,2,morning,EW,12,6,0,0,6,6,3.0,6,False,Fixed plan based on time-of-day profile.
96,0,morning,EW,12,4,0,0,6,6,2.0,4,False,Fixed plan based on time-of-day profile.
96,1,morning,NS,12,0,2,11,0,11,1.0,2,False,Fixed plan based on time-of-day profile.
96,2,morning,NS,12,0,4,10,0,10,2.0,4,False,Fixed plan based on time-of-day profile.
97,0,morning,NS,12,0,4,7,0,7,2.0,4,False,Fixed plan based on time-of-day profile.
97,1,morning,EW,12,4,0,0,4,4,2.0,4,False,Fixed plan based on time-of-day profile.
